Binary adder NDA

Step   1: x=0.109090, y=0.250074
Step 109: x=0.199844, y=0.248000
Step 110: x=0.203605, y=0.240000
Step 111: x=0.204357, y=0.200000
Step 112: x=0.204507, y=0.000000
Step 113: x=0.295266, y=0.200000
Step 114: x=0.385423, y=0.200000
Step 115: x=0.381662, y=0.240000
Step 116: x=0.453767, y=0.048000
Step 117: x=0.541563, y=0.809600
Step 118: x=0.525998, y=0.961920
Step 119: x=0.539083, y=0.792384
Step 120: x=0.513600, y=0.958476
Step 121: x=0.477090, y=0.791695
Step 122: x=0.476363, y=0.358339
Step 123: x=0.149818, y=0.791695
Step 124: x=0.157236, y=0.958476
Step 125: x=0.176901, y=0.792384
Step 126: x=0.162653, y=0.961920
Step 127: x=0.177985, y=0.809600
Step 128: x=0.181051, y=0.048000
Step 129: x=0.199846, y=0.240000
Step 130: x=0.203605, y=0.200000
Step 131: x=0.204357, y=0.000000
Step 132: x=0.294514, y=0.200000
Step 133: x=0.381664, y=0.200000
Step 134: x=0.453778, y=0.040000
Step 135: x=0.541621, y=0.808000
Step 136: x=0.526289, y=0.961600
Step 137: x=0.540538, y=0.792320
Step 138: x=0.520872, y=0.958464
Step 139: x=0.513454, y=0.791692
Step 140: x=0.476363, y=0.758338
Step 141: x=0.472727, y=0.351667
Step 142: x=0.149090, y=0.758338
Step 143: x=0.157090, y=0.791692
Step 144: x=0.158690, y=0.958464
Step 145: x=0.177192, y=0.792320
Step 146: x=0.162711, y=0.961600
Step 147: x=0.177996, y=0.808000
Step 148: x=0.181053, y=0.040000
Step 149: x=0.199847, y=0.200000
Step 150: x=0.203605, y=0.000000
Step 151: x=0.290756, y=0.200000
Step 152: x=0.453781, y=0.000000
Step 153: x=0.541633, y=0.800000
Step 154: x=0.526347, y=0.960000
Step 155: x=0.540829, y=0.792000
Step 156: x=0.522327, y=0.958400
Step 157: x=0.520727, y=0.791680
Step 158: x=0.512727, y=0.758336
Step 159: x=0.472727, y=0.751667
Step 160: x=0.454545, y=0.350333
Step 161: x=0.145454, y=0.751667
Step 162: x=0.156363, y=0.758336
Step 163: x=0.158545, y=0.791680
Step 164: x=0.158981, y=0.958400
Step 165: x=0.177250, y=0.792000
Step 166: x=0.162722, y=0.960000
Step 167: x=0.177999, y=0.800000
Step 168: x=0.181054, y=0.000000
Step 169: x=0.199847, y=0.000000
Step 170: x=0.362872, y=0.000000
Step 171: x=0.905271, y=0.800000
Step 172: x=0.889995, y=0.880000
Step 173: x=0.904523, y=0.696000
Step 174: x=0.886254, y=0.859200
Step 175: x=0.885818, y=0.691840
Step 176: x=0.883636, y=0.658368
Step 177: x=0.872727, y=0.651673
Step 178: x=0.818181, y=0.650334
[HALT] Accept state reached at step 179
####end . 00001011################
Sim OK!
